interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,PA,PA09,55,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Not registered,Don't recall,Not sure,I am not sure/don't know,Not Sure,Unemployed or temporarily on layoff,The United States,Male,Midwest,Other Hispanic,White,NA,High school graduate,OH,OH01,19,Not sure,Not Asked,18-29 year olds,0,0,White
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,OH,OH03,40,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,West,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,ID,ID02,39,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Female,South,Mexican,Some other race,"$15,000 to $24,999",Didn't graduate from high school,TX,TX24,35,Agree,Agree,30-44 year olds,0,1,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,NY,NY19,58,Disagree,Agree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,MO,MO04,68,Not sure,Not Sure,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,CA,CA30,51,Disagree,Not Asked,45-64 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,NE,NE02,59,Agree,Agree,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,LA,LA01,57,Disagree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NY,NY24,63,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Northeast,Other Hispanic,Some other race,"$55,000 to $74,999",Some college or associate degree,NY,NY12,43,Agree,Not Asked,30-44 year olds,0,1,Other
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,Female,South,Not Hispanic,Asian (Asian Indian),"$100,000 to $149,999",Bachelor's degree or higher,GA,GA06,34,Agree,Not Asked,30-44 year olds,0,1,Asian
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NY,NY27,29,Disagree,Not Asked,18-29 year olds,0,1,White
Hardly at all,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Liberal,Self-employed,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,UT,UT01,35,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,VT,VT00,20,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"Less than $14,999",Some college or associate degree,PA,PA07,24,Agree,Agree,18-29 year olds,0,1,White
Hardly at all,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",I would not vote,Very Liberal,Self-employed,Another country,Female,West,Not Hispanic,White,"Less than $14,999",Bachelor's degree or higher,WA,WA10,33,Agree,Agree,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Self-employed,Another country,Male,West,Ecuadorian,White,"$15,000 to $24,999",Some college or associate degree,CA,CA40,30,Not sure,Not Asked,30-44 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,OH,OH06,24,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$25,000 to $34,999",Some college or associate degree,TX,TX05,28,Agree,Not Asked,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,Retired,The United States,Male,West,Not Hispanic,White,NA,Bachelor's degree or higher,ID,ID02,78,Agree,Not Asked,65 years and older,0,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,VA,VA05,32,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Moderate,Retired,Another country,Male,West,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,CA,CA01,72,Agree,Agree,65 years and older,1,0,White
Some of the time,Registered,Was not eligible to vote,"No, I will not vote but I am eligible",Someone else,Very Liberal,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,GA,GA03,20,Agree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Northeast,Mexican,White,"$100,000 to $149,999",High school graduate,NY,NY04,56,Agree,Agree,45-64 year olds,0,1,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,OH,OH16,67,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,MD,MD01,23,Agree,Disagree,18-29 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Male,Northeast,Mexican,Some other race,"$15,000 to $24,999",Some college or associate degree,VT,VT00,42,Agree,Not Asked,30-44 year olds,1,0,Other
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","$45,000 to $54,999",Bachelor's degree or higher,LA,LA06,40,Agree,Not Asked,30-44 year olds,0,1,Black
Most of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,"Black, or African American","$75,000 to $99,999",Some college or associate degree,NJ,NJ10,48,Agree,Not Asked,45-64 year olds,1,0,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Female,Midwest,Mexican,White,"Less than $14,999",Didn't graduate from high school,IL,IL18,39,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Permanently disabled,The United States,Female,South,Not Hispanic,"Black, or African American","$15,000 to $24,999",Didn't graduate from high school,MS,MS03,49,Not sure,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,TX,TX13,26,Disagree,Not Asked,18-29 year olds,1,0,White
Most of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Someone else,Moderate,Self-employed,The United States,Male,West,Mexican,Some other race,"$25,000 to $34,999",Didn't graduate from high school,CA,CA32,26,Disagree,Not Asked,18-29 year olds,0,0,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Other:,The United States,Male,Midwest,Not Hispanic,White,NA,Some college or associate degree,MN,MN08,53,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Not registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Part-time employed,The United States,Male,West,Mexican,Some other race,"$25,000 to $34,999",Some college or associate degree,CO,CO05,39,Agree,Not Asked,30-44 year olds,0,1,Other
Hardly at all,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Bachelor's degree or higher,MS,MS03,27,Agree,Not Sure,18-29 year olds,0,1,Black
Most of the time,Don't know,Hillary Clinton,"Yes, I will vote",I would not vote,Conservative,Retired,The United States,Male,West,Not Hispanic,"Black, or African American","$25,000 to $34,999",High school graduate,CA,,21,Disagree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,KS,KS01,46,Agree,Not Asked,45-64 year olds,1,0,Black
Only now and then,Not registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,Part-time employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$100,000 to $149,999",Bachelor's degree or higher,OH,OH08,34,Disagree,Agree,30-44 year olds,0,1,Black
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",High school graduate,MD,MD02,34,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",High school graduate,FL,,55,Disagree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,West,Not Hispanic,White,"$150,000 and over",Some college or associate degree,CA,,40,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Not Sure,Self-employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,PA,PA17,33,Disagree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,West,Mexican,White,"$25,000 to $34,999",High school graduate,CA,CA42,19,Agree,Not Asked,18-29 year olds,0,1,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,CA,,60,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Someone else,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Mexican,White,"Less than $14,999",Didn't graduate from high school,TN,TN01,32,Not sure,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Northeast,Not Hispanic,White,NA,High school graduate,NY,NY27,71,Not sure,Disagree,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,Another country,Male,Northeast,Mexican,Asian (Filipino),"$15,000 to $24,999",Bachelor's degree or higher,NJ,NJ08,55,Agree,Not Asked,45-64 year olds,0,1,Asian
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,TX,TX20,59,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,Northeast,Cuban,White,"$100,000 to $149,999",Bachelor's degree or higher,NJ,NJ07,31,Not sure,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,NA,Bachelor's degree or higher,NC,NC04,25,Agree,Agree,18-29 year olds,0,1,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MI,MI01,31,Not sure,Disagree,30-44 year olds,1,0,White
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Joe Biden,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$100,000 to $149,999",Bachelor's degree or higher,MS,MS03,22,Disagree,Not Asked,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,MI,MI11,67,Disagree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,GA,GA01,38,Disagree,Not Asked,30-44 year olds,0,0,White
